date,open,high,low,close,volume,average,trades
2023-12-01,189.98,191.56,189.23,191.33,33552953.0,190.816,141927
2023-12-04,190.7,191.24,187.45,189.21,36047091.0,188.921,154386
2023-12-05,188.7,194.4,188.0,193.79,54326862.0,193.176,231775
2023-12-06,193.78,194.76,192.11,192.2,33405185.0,192.802,144631
2023-12-07,192.22,195.0,191.81,194.08,36352492.0,194.4,145206
2023-12-08,194.0,195.99,193.44,195.79,42087938.0,195.16,159876
2023-12-11,195.01,195.5,191.42,193.42,48197411.0,192.728,212381
2023-12-12,193.34,194.83,191.72,194.77,38853290.0,193.717,155779
2023-12-13,194.51,198.78,194.41,198.53,56713563.0,196.907,229569
2023-12-14,198.53,199.62,196.16,197.9,53633084.0,198.292,221857
2023-12-15,198.3,198.77,195.81,196.6,91755592.0,197.551,201203
2023-12-18,196.32,196.63,193.5,195.85,42035345.0,195.545,178410
2023-12-19,195.76,197.0,195.51,196.88,32999365.0,196.526,116684
2023-12-20,196.0,197.68,194.76,195.4,41270607.0,196.198,167068
2023-12-21,195.86,197.08,193.5,194.63,36859409.0,194.743,162349
2023-12-22,194.46,195.41,192.97,193.58,30797188.0,194.1,133609
2023-12-26,193.8,194.12,192.83,192.9,23667993.0,193.171,101161
2023-12-27,193.0,193.5,191.09,193.18,37373350.0,192.542,146541
2023-12-28,193.5,194.66,193.17,193.78,27643154.0,193.921,122004
2023-12-29,193.77,194.4,191.72,192.15,34282295.0,192.58,136845
